md,GR
5300.0,82.131
5300.5,86.72
5301.0,91.575
5301.500000000001,91.935
5302.0,91.462
5302.5,89.261
5303.0,86.573
5303.500000000001,83.068
5304.0,79.083
5304.5,75.097
5305.0,72.303
5305.500000000001,71.881
5306.0,74.844
5306.5,83.19
5307.0,89.842
5307.500000000001,89.673
5308.0,88.584
5308.5,86.812
5309.0,85.107
5309.500000000001,84.149
5310.0,80.926
5310.5,78.548
5311.0,76.613
5311.500000000001,74.678
5312.0,73.467
5312.5,72.919
5313.0,70.82
5313.500000000001,67.51
5314.0,69.584
5314.5,74.963
5315.0,82.351
5315.500000000001,82.526
5316.0,79.948
5316.5,76.023
5317.0,74.763
5317.500000000001,74.188
5318.0,73.612
5318.5,71.539
5319.0,68.098
5319.500000000001,65.159
5320.0,65.593
5320.5,70.166
5321.0,79.849
5321.500000000001,77.658
5322.0,71.034
5322.5,64.411
5323.0,57.787
5323.500000000001,57.045
5324.0,61.724
5324.5,64.523
5325.0,63.518
5325.500000000001,62.155
5326.0,61.429
5326.5,61.726
5327.0,62.605
5327.500000000001,66.914
5328.0,71.242
5328.5,73.829
5329.0,73.6
5329.500000000001,72.072
5330.0,70.949
5330.5,70.419
5331.0,70.09
5331.500000000001,70.007
5332.0,70.403
5332.5,72.377
5333.0,75.769
5333.500000000001,82.666
5334.0,84.797
5334.5,83.264
5335.0,80.865
5335.500000000001,79.217
5336.0,80.341
5336.5,87.984
5337.0,89.403
5337.500000000001,88.85
5338.0,87.487
5338.5,85.987
5339.0,85.805
5339.500000000001,85.801
5340.0,84.813
5340.5,81.089
5341.0,77.366
5341.500000000001,73.943
5342.0,69.237
5342.5,67.567
5343.0,69.604
5343.500000000001,71.386
5344.0,71.811
5344.5,71.177
5345.0,70.275
5345.500000000001,69.724
5346.0,69.342
5346.5,69.749
5347.0,71.105
5347.500000000001,72.462
5348.0,73.354
5348.5,72.359
5349.0,63.898
5349.500000000001,57.154
5350.0,57.948
5350.5,63.767
5351.0,70.368
5351.500000000001,73.612
5352.0,72.756
5352.5,71.445
5353.0,71.641
5353.500000000001,72.467
5354.0,72.47
5354.5,70.815
5355.0,68.333
5355.500000000001,64.456
5356.0,63.115
5356.5,61.402
5357.0,59.39
5357.500000000001,57.017
5358.0,54.644
5358.5,53.715
5359.0,53.892
5359.500000000001,62.264
5360.0,67.64
5360.5,65.777
5361.0,64.924
5361.500000000001,66.108
5362.0,68.115
5362.5,69.986
5363.0,69.989
5363.500000000001,69.991
5364.0,71.697
5364.5,75.343
5365.0,80.363
5365.500000000001,86.812
5366.0,86.841
5366.5,83.491
5367.0,78.715
5367.500000000001,76.955
5368.0,81.622
5368.5,88.19
5369.0,94.757
5369.500000000001,95.683
5370.0,95.313
5370.5,86.589
5371.0,86.485
5371.500000000001,87.161
5372.0,87.531
5372.5,87.208
5373.0,84.967
5373.500000000001,76.975
5374.0,73.933
5374.5,74.626
5375.0,79.086
5375.500000000001,89.281
5376.0,89.815
5376.5,87.172
5377.0,83.145
5377.5,79.117
5378.0,75.337
5378.5,73.687
5379.0,72.076
5379.5,68.388
5380.0,61.771
5380.5,55.155
5381.0,49.739
5381.5,48.343
5382.0,48.651
5382.5,54.325
5383.0,54.805
5383.5,51.861
5384.0,47.973
5384.5,44.085
5385.0,42.474
5385.5,47.205
5386.0,51.331
5386.5,64.946
5387.0,66.68
5387.5,71.665
5388.0,75.416
5388.5,80.663
5389.0,81.141
5389.5,79.851
5390.0,79.55
5390.5,81.634
5391.0,86.525
5391.5,86.456
5392.0,84.927
5392.5,82.247
5393.0,79.544
5393.5,77.433
5394.0,77.052
5394.5,78.484
5395.0,82.05
5395.5,82.862
5396.0,81.383
5396.5,74.832
5397.0,75.14
5397.5,77.817
5398.0,81.058
5398.5,79.034
5399.0,76.325
5399.5,68.18
5400.0,65.952
5400.5,66.109
5401.0,68.172
5401.5,70.234
5402.0,70.707
5402.5,70.548
5403.0,69.713
5403.5,68.862
5404.0,68.617
5404.5,69.552
5405.0,70.062
5405.5,70.116
5406.0,70.17
5406.5,70.224
5407.0,70.279
5407.5,71.762
5408.0,76.107
5408.5,76.247
5409.0,74.498
5409.5,69.758
5410.0,69.305
5410.5,71.869
5411.0,73.182
5411.5,72.097
5412.0,70.947
5412.5,69.857
5413.0,68.336
5413.5,66.083
5414.0,66.152
5414.5,72.12
5415.0,75.28
5415.5,80.294
5416.0,80.344
5416.5,79.197
5417.0,75.666
5417.5,70.174
5418.0,65.47
5418.5,62.378
5419.0,58.792
5419.5,56.56
5420.0,56.464
5420.5,57.615
5421.0,59.96
5421.5,62.308
5422.0,64.993
5422.5,65.226
5423.0,65.594
5423.5,67.633
5424.0,69.017
5424.5,70.035
5425.0,70.862
5425.5,71.006
5426.0,70.96
5426.5,70.872
5427.0,70.177
5427.5,69.233
5428.0,67.356
5428.5,66.246
5429.0,65.685
5429.5,65.576
5430.0,66.693
5430.5,67.966
5431.0,69.24
5431.5,70.513
5432.0,71.787
5432.5,75.942
5433.0,82.003
5433.5,82.556
5434.0,76.722
5434.5,72.514
5435.0,73.668
5435.5,75.741
5436.0,74.485
5436.5,68.772
5437.0,63.917
5437.5,56.757
5438.0,56.576
5438.5,57.906
5439.0,60.049
5439.5,62.37
5440.0,64.887
5440.5,72.271
5441.0,76.128
5441.5,76.473
5442.0,76.877
5442.5,78.162
5443.0,80.01
5443.5,80.028
5444.0,78.576
5444.5,75.789
5445.0,72.964
5445.5,70.599
5446.0,69.904
5446.5,69.711
5447.0,69.519
5447.5,68.851
5448.0,68.132
5448.5,67.394
5449.0,66.811
5449.5,66.873
5450.0,72.655
5450.5,73.082
5451.0,70.497
5451.5,66.234
5452.0,61.67
5452.5,58.982
5453.0,58.872
5453.5,58.681
5454.0,58.406
5454.5,58.029
5455.0,57.48
5455.5,55.916
5456.0,53.427
5456.5,45.859
5457.0,44.835
5457.5,47.283
5458.0,53.246
5458.5,59.364
5459.0,65.856
5459.5,72.347
5460.0,78.839
5460.5,85.33
5461.0,85.416
5461.5,82.778
5462.0,75.272
5462.5,57.268
5463.0,49.288
5463.5,45.283
5464.0,46.406
5464.5,57.746
5465.0,70.583
5465.5,77.795
5466.0,77.844
5466.5,55.46
5467.0,48.074
5467.5,43.873
5468.0,44.12
5468.5,50.622
5469.0,52.505
5469.5,54.387
5470.0,56.948
5470.5,59.667
5471.0,61.848
5471.5,64.228
5472.0,66.614
5472.5,68.718
5473.0,68.422
5473.5,56.974
5474.0,43.993
5474.5,41.341
5475.0,41.411
5475.5,44.017
5476.0,52.66
5476.5,65.306
5477.0,71.655
5477.5,73.298
5478.0,73.232
5478.5,72.793
5479.0,72.867
5479.5,75.074
5480.0,78.633
5480.5,78.635
5481.0,74.829
5481.5,73.594
5482.0,73.596
5482.5,76.858
5483.0,77.963
5483.5,79.367
5484.0,81.317
5484.5,82.301
5485.0,80.813
5485.5,76.338
5486.0,76.717
5486.5,78.282
5487.0,79.087
5487.5,79.238
5488.0,75.906
5488.5,72.893
5489.0,69.88
5489.5,69.352
5490.0,70.138
5490.5,78.642
5491.0,77.125
5491.5,73.269
5492.0,70.628
5492.5,70.509
5493.0,73.288
5493.5,76.498
5494.0,77.562
5494.5,77.043
5495.0,73.856
5495.5,68.383
5496.0,66.848
5496.5,62.654
5497.0,57.5
5497.5,55.308
5498.0,55.474
5498.5,59.136
5499.0,66.297
5499.5,70.763
5500.0,75.427
5500.5,75.986
5501.0,76.38
5501.5,74.573
5502.0,72.431
5502.5,70.416
5503.0,68.468
5503.5,67.931
5504.000000000001,67.884
5504.5,68.336
5505.0,69.682
5505.5,72.342
5506.000000000001,73.335
5506.5,72.358
5507.0,72.087
5507.5,72.557
5508.000000000001,72.853
5508.5,72.719
5509.0,71.682
5509.5,69.818
5510.000000000001,68.607
5510.5,67.569
5511.0,68.097
5511.5,69.805
5512.000000000001,71.841
5512.5,72.341
5513.0,71.181
5513.5,68.691
5514.000000000001,66.948
5514.5,63.574
5515.0,63.089
5515.5,63.028
5516.000000000001,63.006
5516.5,62.672
5517.0,61.13
5517.5,58.147
5518.000000000001,58.153
5518.5,58.678
5519.0,62.881
5519.5,69.17
5520.000000000001,71.605
5520.5,71.76
5521.0,68.491
5521.5,65.943
5522.000000000001,65.762
5522.5,66.261
5523.0,68.587
5523.5,70.099
5524.000000000001,69.387
5524.5,67.896
5525.0,66.857
5525.5,69.167
5526.000000000001,72.617
5526.5,72.427
5527.0,68.544
5527.5,64.87
5528.000000000001,65.517
5528.5,66.164
5529.0,66.81
5529.5,67.761
5530.000000000001,70.862
5530.5,75.5
5531.0,74.348
5531.5,66.604
5532.000000000001,65.764
5532.5,65.772
5533.0,71.578
5533.5,73.819
5534.000000000001,74.75
5534.5,75.682
5535.0,76.398
5535.5,76.576
5536.000000000001,75.499
5536.5,73.286
5537.0,71.905
5537.5,72.369
5538.000000000001,75.338
5538.5,77.448
5539.0,76.505
5539.5,75.132
5540.000000000001,76.158
5540.5,76.279
5541.0,75.215
5541.5,73.842
5542.000000000001,72.43
5542.5,71.21
5543.0,70.785
5543.5,72.243
5544.000000000001,73.618
5544.5,74.67
5545.0,75.722
5545.5,76.774
5546.000000000001,81.27
5546.5,84.326
5547.0,82.917
5547.5,76.8
5548.000000000001,68.503
5548.5,66.532
5549.0,66.407
5549.5,66.908
5550.000000000001,68.309
5550.5,72.042
5551.0,72.581
5551.5,71.463
5552.000000000001,70.804
5552.5,70.491
5553.0,71.162
5553.5,72.3
5554.000000000001,73.399
5554.5,72.801
5555.0,72.727
5555.5,73.349
5556.000000000001,74.175
5556.5,74.393
5557.0,74.222
5557.5,73.492
5558.000000000001,73.662
5558.5,75.145
5559.0,79.795
5559.5,73.557
5560.000000000001,68.689
5560.5,67.805
5561.0,69.71
5561.5,72.564
5562.000000000001,75.417
5562.5,75.779
5563.0,75.712
5563.5,75.353
5564.000000000001,74.994
5564.5,74.739
5565.0,74.739
5565.5,75.011
5566.000000000001,78.701
5566.5,84.454
5567.0,84.941
5567.5,82.798
5568.000000000001,80.205
5568.5,77.618
5569.0,76.374
